Device IP,Hostname,Interface,Vlan,MAC,MAC Type,Registration,Is Unique,Last Seen
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,704,00:00:0c:9f:f2:c0,GlobalUnicast,"Cisco Systems, Inc / HSRP v2",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,705,00:00:0c:9f:f2:c1,GlobalUnicast,"Cisco Systems, Inc / HSRP v2",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,706,00:00:0c:9f:f2:c2,GlobalUnicast,"Cisco Systems, Inc / HSRP v2",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,707,00:00:0c:9f:f2:c3,GlobalUnicast,"Cisco Systems, Inc / HSRP v2",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,707,e0:ac:f1:7d:a2:65,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,1015,e0:ac:f1:7d:a2:65,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,1100,e0:ac:f1:7d:a2:65,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,1102,00:25:b5:00:00:06,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,1102,00:25:b5:00:00:11,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,1102,00:25:b5:00:00:14,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,1102,00:25:b5:00:00:18,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,1102,00:25:b5:00:00:1f,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,1102,00:25:b5:00:00:23,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,1102,00:25:b5:00:00:49,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,1102,00:50:56:6d:98:4a,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,1102,00:50:56:8a:0e:eb,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,1102,00:50:56:8a:4c:ec,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-04T23:49:36.537+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,1102,00:50:56:9a:08:82,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,1102,00:50:56:9a:0f:eb,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,1102,00:50:56:9a:12:dd,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,1102,00:50:56:9a:4a:96,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
